date,CES0000000001,CES0500000003,CES0500000002,LNS14000000,LNS11300000,LNS12300000,LNS13327709
2016-01-01,143210.0,25.37,34.6,4.8,62.7,59.7,9.7
2016-02-01,143407.0,25.38,34.4,4.9,62.8,59.8,9.6
2016-03-01,143662.0,25.45,34.4,5.0,63.0,59.8,9.8
2016-04-01,143855.0,25.53,34.4,5.1,62.9,59.7,9.9
2016-05-01,143900.0,25.58,34.4,4.8,62.7,59.7,9.9
2016-06-01,144146.0,25.62,34.4,4.9,62.7,59.7,9.5
2016-07-01,144520.0,25.69,34.5,4.8,62.8,59.8,9.6
2016-08-01,144662.0,25.71,34.3,4.9,62.9,59.8,9.6
2016-09-01,144967.0,25.77,34.4,5.0,62.9,59.7,9.7
2016-10-01,145066.0,25.9,34.4,4.9,62.8,59.7,9.6
2016-11-01,145183.0,25.9,34.4,4.7,62.7,59.7,9.4
2016-12-01,145408.0,25.93,34.4,4.7,62.7,59.7,9.2
2017-01-01,145628.0,26.0,34.4,4.7,62.8,59.9,9.2
2017-02-01,145848.0,26.07,34.3,4.6,62.9,60.0,9.0
2017-03-01,145969.0,26.11,34.3,4.4,62.9,60.2,8.8
2017-04-01,146174.0,26.17,34.4,4.4,63.0,60.2,8.6
2017-05-01,146380.0,26.21,34.4,4.4,62.8,60.1,8.5
2017-06-01,146583.0,26.26,34.4,4.3,62.8,60.1,8.5
2017-07-01,146772.0,26.35,34.4,4.3,62.9,60.2,8.5
2017-08-01,146919.0,26.37,34.4,4.4,62.9,60.1,8.6
2017-09-01,147007.0,26.49,34.4,4.3,63.1,60.4,8.3
2017-10-01,147150.0,26.5,34.4,4.2,62.7,60.1,8.1
2017-11-01,147373.0,26.54,34.5,4.2,62.7,60.1,8.0
2017-12-01,147523.0,26.63,34.5,4.1,62.7,60.1,8.1
2018-01-01,147660.0,26.72,34.4,4.0,62.7,60.1,8.0
2018-02-01,148054.0,26.74,34.5,4.1,63.0,60.4,8.1
2018-03-01,148280.0,26.85,34.5,4.0,62.9,60.4,8.0
2018-04-01,148422.0,26.91,34.5,4.0,62.9,60.4,7.9
2018-05-01,148740.0,26.98,34.5,3.8,62.9,60.5,7.8
2018-06-01,148959.0,27.03,34.6,4.0,63.0,60.5,7.8
2018-07-01,149020.0,27.1,34.5,3.8,63.0,60.6,7.5
2018-08-01,149279.0,27.21,34.5,3.8,62.6,60.3,7.4
2018-09-01,149358.0,27.32,34.4,3.7,62.8,60.4,7.5
2018-10-01,149526.0,27.37,34.5,3.8,62.9,60.5,7.5
2018-11-01,149617.0,27.44,34.4,3.8,62.9,60.6,7.6
2018-12-01,149809.0,27.56,34.5,3.9,63.0,60.6,7.6
2019-01-01,150059.0,27.59,34.5,4.0,63.1,60.6,8.0
2019-02-01,150065.0,27.69,34.4,3.8,63.1,60.7,7.2
2019-03-01,150295.0,27.77,34.5,3.8,63.0,60.6,7.4
2019-04-01,150593.0,27.79,34.4,3.7,62.8,60.5,7.4
2019-05-01,150621.0,27.88,34.4,3.6,62.9,60.6,7.1
2019-06-01,150839.0,27.96,34.4,3.6,63.0,60.7,7.2
2019-07-01,150936.0,28.03,34.4,3.7,63.1,60.8,6.9
2019-08-01,151171.0,28.14,34.4,3.6,63.1,60.8,7.2
2019-09-01,151365.0,28.16,34.4,3.5,63.2,61.0,6.9
2019-10-01,151460.0,28.23,34.3,3.6,63.3,61.0,6.9
2019-11-01,151668.0,28.34,34.3,3.6,63.3,61.0,6.8
2019-12-01,151795.0,28.38,34.3,3.6,63.3,61.1,6.8
2020-01-01,152031.0,28.43,34.3,3.6,63.3,61.1,7.0
2020-02-01,152292.0,28.54,34.3,3.5,63.3,61.1,7.0
2020-03-01,150895.0,28.74,34.1,4.4,62.6,59.8,8.8
